Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,66.88,47.06,75.44,34.02,50.77,70.59,51.38,57.54
accf,84.71,58.82,79.82,59.79,68.01,70.59,58.72,90.87
acn,84.39,55.88,79.82,58.76,65.90,70.59,54.13,90.87
adt,46.82,47.06,48.25,0.00,40.42,70.59,42.20,57.54
cba,84.08,63.24,85.09,52.58,72.22,66.67,59.63,90.87
cba2,78.66,55.15,85.09,43.30,78.93,56.86,70.64,84.92
cmar,69.75,38.24,59.65,30.93,24.14,50.98,51.38,60.32
cpar,84.71,65.44,88.60,38.00,26.00,55.00,66.06,91.67
L3,84.08,61.76,86.84,56.70,71.26,70.59,66.97,91.27
mac,84.71,59.56,85.09,56.70,60.92,70.59,66.06,91.67
carrt,84.39,66.91,86.85,51.54,78.11,68.62,50.45,91.66
