Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.04,0.50,0.52,0.21,0.19,0.57,0.42,0.31
accf,0.85,0.59,0.80,0.60,0.68,0.71,0.59,0.91
acn,0.84,0.56,0.80,0.59,0.66,0.71,0.54,0.91
adt,0.47,0.47,0.48,0.38,0.44,0.71,0.42,0.58
cba,0.84,0.63,0.85,0.53,0.73,0.67,0.68,0.91
cba2,0.79,0.55,0.85,0.43,0.79,0.57,0.72,0.85
cmar,0.77,0.50,0.40,0.32,0.24,0.43,0.34,0.60
cpar,0.85,0.65,0.89,0.00,0.00,0.00,0.66,0.92
L3,0.84,0.65,0.86,0.60,0.75,0.75,0.68,0.91
mac,0.85,0.60,0.85,0.57,0.66,0.71,0.66,0.92
carrt,0.85,0.64,0.83,0.52,0.81,0.69,0.68, 0.92
