Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.80,5.93,28.69,5.43,6.52,16.86,3.19,5.37
accf,21.17,13.27,44.73,16.70,63.52,17.65,11.68,30.47
acn,21.11,7.34,44.57,16.71,53.95,17.65,7.10,30.56
adt,5.85,3.14,8.04,4.77,73.03,17.65,3.01,9.59
cba,21.07,11.25,61.60,21.62,69.44,22.93,13.00,30.65
cba2,27.59,17.73,56.50,23.97,76.15,23.56,27.22,29.75
cmar,19.43,7.93,29.56,9.31,28.69,23.07,8.57,27.08
cpar,21.17,15.83,59.64,10.41,30.19,30.07,12.31,30.68
L3,21.07,19.32,64.84,44.36,71.90,43.37,25.05,30.58
mac,21.17,7.90,57.26,18.83,62.24,17.65,13.32,30.68
carrt,25.38,19.32,55.10,26.05,45.52,17.50,11.96,30.68
