Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,10.70,32.99,58.77,32.99,38.38,56.86,42.20,30.56
accf,84.39,34.02,79.82,57.73,80.13,70.59,41.28,90.48
acn,84.39,36.08,79.82,59.79,79.80,70.59,42.20,90.48
adt,86.43,40.21,48.25,38.14,50.84,70.59,42.20,57.54
cba,84.71,42.27,72.81,48.45,79.80,66.67,44.04,91.27
cba2,84.90,26.80,68.42,36.08,77.78,56.86,33.03,87.70
cmar,75.67,39.18,38.60,26.80,35.69,56.86,31.19,51.59
cpar,84.71,29.90,78.95,36.00,8.08,70.00,28.44,91.67
L3,84.59,32.99,78.07,56.70,80.47,70.59,41.28,91.27
mac,77.96,40.21,79.82,59.79,73.74,70.59,42.20,91.27
carrt,84.39,40.21,78.94,59.79,76.09,66.67,39.45,90.87
